persona,user_id,parent_asin,average_rating,title,text
"{""evidence"":{""negative_examples"":[""the product photos make this holder look better quality than it actually is"",""the silver part is a little sharp"",""Had to knock some stars off because of the poor packaging""],""positive_examples"":[""Love the color and the feel of the brush"",""If I could give these 6 stars I would"",""Great add on to any Halloween costume"",""Everything about this pocket size comb is great""]},""preferences"":{""what_they_value"":[""product quality"",""convenience for travel"",""aesthetic design"",""value for money""],""liked_attributes"":[""travel-friendly design"",""aesthetic appeal"",""quality materials"",""variety of options""],""common_complaints"":[""product quality not matching photos"",""poor packaging leading to damage"",""flimsy materials""],""disliked_attributes"":[""poor packaging"",""flimsy construction"",""sharp edges""],""liked_product_types"":[""makeup brushes"",""combs"",""false lashes"",""nail drills"",""wigs""],""disliked_product_types"":[""flimsy organizers"",""sharp-edged accessories""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""I love the"",""Great for"",""Not sure these will be able to"",""Everything about this"",""What a fun wig!""],""vocabulary_markers"":[""flimsy"",""soothing"",""convenient"",""aesthetically appealing"",""quality""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.2,""rating_patterns"":""Gives 5-star ratings for products that meet or exceed expectations in quality and design, 3-4 stars for average performance, and 1-star for significant quality discrepancies."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":2,""5"":9}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""low"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AHRERECZ4GKHHBQDBRQLVITBYHXQ,B0BRYZWF7R,5,Lovely,"Wow, this roller is huge! I like how easy it is to grip and comes with instructions."
"{""evidence"":{""negative_examples"":[""the product photos make this holder look better quality than it actually is"",""the silver part is a little sharp"",""Had to knock some stars off because of the poor packaging""],""positive_examples"":[""Love the color and the feel of the brush"",""If I could give these 6 stars I would"",""Great add on to any Halloween costume"",""Everything about this pocket size comb is great""]},""preferences"":{""what_they_value"":[""product quality"",""convenience for travel"",""aesthetic design"",""value for money""],""liked_attributes"":[""travel-friendly design"",""aesthetic appeal"",""quality materials"",""variety of options""],""common_complaints"":[""product quality not matching photos"",""poor packaging leading to damage"",""flimsy materials""],""disliked_attributes"":[""poor packaging"",""flimsy construction"",""sharp edges""],""liked_product_types"":[""makeup brushes"",""combs"",""false lashes"",""nail drills"",""wigs""],""disliked_product_types"":[""flimsy organizers"",""sharp-edged accessories""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""I love the"",""Great for"",""Not sure these will be able to"",""Everything about this"",""What a fun wig!""],""vocabulary_markers"":[""flimsy"",""soothing"",""convenient"",""aesthetically appealing"",""quality""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.2,""rating_patterns"":""Gives 5-star ratings for products that meet or exceed expectations in quality and design, 3-4 stars for average performance, and 1-star for significant quality discrepancies."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":2,""5"":9}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""low"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AHRERECZ4GKHHBQDBRQLVITBYHXQ,B0B87SH493,5,Great Nail Drill,"I have recently decided to get into doing acrylics and was looking for a nail drill- I’m picky about getting items unless it’s quality AND aesthetically appealing..well, this one was both! Love the different pinks and the nail bits have been easy to figure out (comes with instructions) so far. The drill came nicely packaged and is quieter than any other drill I have heard."
"{""evidence"":{""negative_examples"":[""the product photos make this holder look better quality than it actually is"",""the silver part is a little sharp"",""Had to knock some stars off because of the poor packaging""],""positive_examples"":[""Love the color and the feel of the brush"",""If I could give these 6 stars I would"",""Great add on to any Halloween costume"",""Everything about this pocket size comb is great""]},""preferences"":{""what_they_value"":[""product quality"",""convenience for travel"",""aesthetic design"",""value for money""],""liked_attributes"":[""travel-friendly design"",""aesthetic appeal"",""quality materials"",""variety of options""],""common_complaints"":[""product quality not matching photos"",""poor packaging leading to damage"",""flimsy materials""],""disliked_attributes"":[""poor packaging"",""flimsy construction"",""sharp edges""],""liked_product_types"":[""makeup brushes"",""combs"",""false lashes"",""nail drills"",""wigs""],""disliked_product_types"":[""flimsy organizers"",""sharp-edged accessories""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""I love the"",""Great for"",""Not sure these will be able to"",""Everything about this"",""What a fun wig!""],""vocabulary_markers"":[""flimsy"",""soothing"",""convenient"",""aesthetically appealing"",""quality""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.2,""rating_patterns"":""Gives 5-star ratings for products that meet or exceed expectations in quality and design, 3-4 stars for average performance, and 1-star for significant quality discrepancies."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":2,""5"":9}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""low"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AHRERECZ4GKHHBQDBRQLVITBYHXQ,B0BV5S477T,4,Soothing,"I thought this vibrated as well, but what you see is what you get. It comes with a head and replacement head with covers for easy storing. A nice way to apply my moisturizer."
"{""evidence"":{""negative_examples"":[""the product photos make this holder look better quality than it actually is"",""the silver part is a little sharp"",""Had to knock some stars off because of the poor packaging""],""positive_examples"":[""Love the color and the feel of the brush"",""If I could give these 6 stars I would"",""Great add on to any Halloween costume"",""Everything about this pocket size comb is great""]},""preferences"":{""what_they_value"":[""product quality"",""convenience for travel"",""aesthetic design"",""value for money""],""liked_attributes"":[""travel-friendly design"",""aesthetic appeal"",""quality materials"",""variety of options""],""common_complaints"":[""product quality not matching photos"",""poor packaging leading to damage"",""flimsy materials""],""disliked_attributes"":[""poor packaging"",""flimsy construction"",""sharp edges""],""liked_product_types"":[""makeup brushes"",""combs"",""false lashes"",""nail drills"",""wigs""],""disliked_product_types"":[""flimsy organizers"",""sharp-edged accessories""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""I love the"",""Great for"",""Not sure these will be able to"",""Everything about this"",""What a fun wig!""],""vocabulary_markers"":[""flimsy"",""soothing"",""convenient"",""aesthetically appealing"",""quality""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.2,""rating_patterns"":""Gives 5-star ratings for products that meet or exceed expectations in quality and design, 3-4 stars for average performance, and 1-star for significant quality discrepancies."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":2,""5"":9}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""low"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AHRERECZ4GKHHBQDBRQLVITBYHXQ,B0B5XFVSXY,5,In Love!,If I could give these 6 stars I would! My first time ever wearing half lashes and my experience was<br /><br />• forgot I was wearing lashes because they are so light<br />• incredibly easy for anyone to put on!<br />• no need to worry about the corners lifting up because it’s barely noticeable if they do<br />• wore comfortably for over 10 hours<br /><br />What a great price for 10 lashes as well! These are perfect and I’ve already told so many people about them.
"{""evidence"":{""negative_examples"":[""the product photos make this holder look better quality than it actually is"",""the silver part is a little sharp"",""Had to knock some stars off because of the poor packaging""],""positive_examples"":[""Love the color and the feel of the brush"",""If I could give these 6 stars I would"",""Great add on to any Halloween costume"",""Everything about this pocket size comb is great""]},""preferences"":{""what_they_value"":[""product quality"",""convenience for travel"",""aesthetic design"",""value for money""],""liked_attributes"":[""travel-friendly design"",""aesthetic appeal"",""quality materials"",""variety of options""],""common_complaints"":[""product quality not matching photos"",""poor packaging leading to damage"",""flimsy materials""],""disliked_attributes"":[""poor packaging"",""flimsy construction"",""sharp edges""],""liked_product_types"":[""makeup brushes"",""combs"",""false lashes"",""nail drills"",""wigs""],""disliked_product_types"":[""flimsy organizers"",""sharp-edged accessories""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""I love the"",""Great for"",""Not sure these will be able to"",""Everything about this"",""What a fun wig!""],""vocabulary_markers"":[""flimsy"",""soothing"",""convenient"",""aesthetically appealing"",""quality""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.2,""rating_patterns"":""Gives 5-star ratings for products that meet or exceed expectations in quality and design, 3-4 stars for average performance, and 1-star for significant quality discrepancies."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":2,""5"":9}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""low"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AHRERECZ4GKHHBQDBRQLVITBYHXQ,B0BF8YNJPS,5,Nice!,"These headbands were nicer than I expected, and best part not tight on my head! A lot of times headbands are tighter on my head, but these fit perfectly. I was worried the knot on the top would look funny on my head/bulky… but it actually looks cute!"
"{""evidence"":{""negative_examples"":[""the product photos make this holder look better quality than it actually is"",""the silver part is a little sharp"",""Had to knock some stars off because of the poor packaging""],""positive_examples"":[""Love the color and the feel of the brush"",""If I could give these 6 stars I would"",""Great add on to any Halloween costume"",""Everything about this pocket size comb is great""]},""preferences"":{""what_they_value"":[""product quality"",""convenience for travel"",""aesthetic design"",""value for money""],""liked_attributes"":[""travel-friendly design"",""aesthetic appeal"",""quality materials"",""variety of options""],""common_complaints"":[""product quality not matching photos"",""poor packaging leading to damage"",""flimsy materials""],""disliked_attributes"":[""poor packaging"",""flimsy construction"",""sharp edges""],""liked_product_types"":[""makeup brushes"",""combs"",""false lashes"",""nail drills"",""wigs""],""disliked_product_types"":[""flimsy organizers"",""sharp-edged accessories""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""I love the"",""Great for"",""Not sure these will be able to"",""Everything about this"",""What a fun wig!""],""vocabulary_markers"":[""flimsy"",""soothing"",""convenient"",""aesthetically appealing"",""quality""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.2,""rating_patterns"":""Gives 5-star ratings for products that meet or exceed expectations in quality and design, 3-4 stars for average performance, and 1-star for significant quality discrepancies."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":2,""5"":9}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""low"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AHRERECZ4GKHHBQDBRQLVITBYHXQ,B0B2QSKW57,5,Great Quality,What a fun wig! It’s very bouncy and not too heavy. Also a plus that the wig is ready to wear and you don’t need to trim any of the front pieces.
"{""evidence"":{""negative_examples"":[""the product photos make this holder look better quality than it actually is"",""the silver part is a little sharp"",""Had to knock some stars off because of the poor packaging""],""positive_examples"":[""Love the color and the feel of the brush"",""If I could give these 6 stars I would"",""Great add on to any Halloween costume"",""Everything about this pocket size comb is great""]},""preferences"":{""what_they_value"":[""product quality"",""convenience for travel"",""aesthetic design"",""value for money""],""liked_attributes"":[""travel-friendly design"",""aesthetic appeal"",""quality materials"",""variety of options""],""common_complaints"":[""product quality not matching photos"",""poor packaging leading to damage"",""flimsy materials""],""disliked_attributes"":[""poor packaging"",""flimsy construction"",""sharp edges""],""liked_product_types"":[""makeup brushes"",""combs"",""false lashes"",""nail drills"",""wigs""],""disliked_product_types"":[""flimsy organizers"",""sharp-edged accessories""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""I love the"",""Great for"",""Not sure these will be able to"",""Everything about this"",""What a fun wig!""],""vocabulary_markers"":[""flimsy"",""soothing"",""convenient"",""aesthetically appealing"",""quality""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.2,""rating_patterns"":""Gives 5-star ratings for products that meet or exceed expectations in quality and design, 3-4 stars for average performance, and 1-star for significant quality discrepancies."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":2,""5"":9}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""low"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AHRERECZ4GKHHBQDBRQLVITBYHXQ,B0BNJ2KVTP,1,No,"Hmm… the product photos make this holder look better quality than it actually is. When I received I wasn’t even sure what I was opening. I will not be using this, as you can see it’s flimsy and will not protect brushes."
"{""evidence"":{""negative_examples"":[""the product photos make this holder look better quality than it actually is"",""the silver part is a little sharp"",""Had to knock some stars off because of the poor packaging""],""positive_examples"":[""Love the color and the feel of the brush"",""If I could give these 6 stars I would"",""Great add on to any Halloween costume"",""Everything about this pocket size comb is great""]},""preferences"":{""what_they_value"":[""product quality"",""convenience for travel"",""aesthetic design"",""value for money""],""liked_attributes"":[""travel-friendly design"",""aesthetic appeal"",""quality materials"",""variety of options""],""common_complaints"":[""product quality not matching photos"",""poor packaging leading to damage"",""flimsy materials""],""disliked_attributes"":[""poor packaging"",""flimsy construction"",""sharp edges""],""liked_product_types"":[""makeup brushes"",""combs"",""false lashes"",""nail drills"",""wigs""],""disliked_product_types"":[""flimsy organizers"",""sharp-edged accessories""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""I love the"",""Great for"",""Not sure these will be able to"",""Everything about this"",""What a fun wig!""],""vocabulary_markers"":[""flimsy"",""soothing"",""convenient"",""aesthetically appealing"",""quality""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4.2,""rating_patterns"":""Gives 5-star ratings for products that meet or exceed expectations in quality and design, 3-4 stars for average performance, and 1-star for significant quality discrepancies."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":2,""5"":9}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""low"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty""],""verified_purchase_ratio"":0}}",AHRERECZ4GKHHBQDBRQLVITBYHXQ,B0B62GY2RX,5,Love!,"What a great deal for all the stickers & sheets you receive! I peeled them off with my fingers, but they come off easier with tweezers. I tried out a sticker on my bare nail with no clear coat and it’s stayed on for over 24hrs! Very nice quality of stickers and so many options!"
"{""evidence"":{""negative_examples"":[""Lashes were super rough and hard"",""Didn’t work, disappointed""],""positive_examples"":[""Super soft and looks dramatic"",""Heats up super fast, adjustable heat""]},""preferences"":{""what_they_value"":[""comfort"",""effectiveness"",""aesthetic appeal""],""liked_attributes"":[""softness"",""ease of use"",""natural appearance""],""common_complaints"":[""products not as described"",""fit issues"",""lack of results""],""disliked_attributes"":[""rough texture"",""poor adhesion"",""wireless design absence""],""liked_product_types"":[""false eyelashes"",""hair styling tools"",""perfume atomizers""],""disliked_product_types"":[""rough-textured products"",""ineffective conditioners""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""Great headband but small for me"",""Super soft"",""easy to use""],""vocabulary_markers"":[""super"",""easy"",""didn’t work""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4,""rating_patterns"":""Gives high ratings to products that meet expectations, lower ratings when products are uncomfortable or ineffective."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":1,""5"":5}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty"",""Premium Beauty""],""verified_purchase_ratio"":0}}",AFFVAEVXTKEZZ6RAOEXCLWSB4ABQ,B0814TCLD8,3,Not wireless,For the size it could be wireless.  Its not that powerful also.  Speed is controlled on the wire.
"{""evidence"":{""negative_examples"":[""Lashes were super rough and hard"",""Didn’t work, disappointed""],""positive_examples"":[""Super soft and looks dramatic"",""Heats up super fast, adjustable heat""]},""preferences"":{""what_they_value"":[""comfort"",""effectiveness"",""aesthetic appeal""],""liked_attributes"":[""softness"",""ease of use"",""natural appearance""],""common_complaints"":[""products not as described"",""fit issues"",""lack of results""],""disliked_attributes"":[""rough texture"",""poor adhesion"",""wireless design absence""],""liked_product_types"":[""false eyelashes"",""hair styling tools"",""perfume atomizers""],""disliked_product_types"":[""rough-textured products"",""ineffective conditioners""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""Great headband but small for me"",""Super soft"",""easy to use""],""vocabulary_markers"":[""super"",""easy"",""didn’t work""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4,""rating_patterns"":""Gives high ratings to products that meet expectations, lower ratings when products are uncomfortable or ineffective."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":1,""5"":5}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty"",""Premium Beauty""],""verified_purchase_ratio"":0}}",AFFVAEVXTKEZZ6RAOEXCLWSB4ABQ,B015A5DGG4,5,perfect size for my purse,"my wife needed a cute traveling perfume to carry with her in her purse, so I came across these sets. She was very impressed by how easy it was to refill the container. She even purchased more for gifts."
"{""evidence"":{""negative_examples"":[""Lashes were super rough and hard"",""Didn’t work, disappointed""],""positive_examples"":[""Super soft and looks dramatic"",""Heats up super fast, adjustable heat""]},""preferences"":{""what_they_value"":[""comfort"",""effectiveness"",""aesthetic appeal""],""liked_attributes"":[""softness"",""ease of use"",""natural appearance""],""common_complaints"":[""products not as described"",""fit issues"",""lack of results""],""disliked_attributes"":[""rough texture"",""poor adhesion"",""wireless design absence""],""liked_product_types"":[""false eyelashes"",""hair styling tools"",""perfume atomizers""],""disliked_product_types"":[""rough-textured products"",""ineffective conditioners""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""Great headband but small for me"",""Super soft"",""easy to use""],""vocabulary_markers"":[""super"",""easy"",""didn’t work""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4,""rating_patterns"":""Gives high ratings to products that meet expectations, lower ratings when products are uncomfortable or ineffective."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":1,""5"":5}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty"",""Premium Beauty""],""verified_purchase_ratio"":0}}",AFFVAEVXTKEZZ6RAOEXCLWSB4ABQ,B07ZHV92BV,1,Lashes were super rough,My wife tried these lash and it was super rough and hard. It didn’t felt soft like all the other brands she purchase. The lashes was easy to comes off the strip.
"{""evidence"":{""negative_examples"":[""Lashes were super rough and hard"",""Didn’t work, disappointed""],""positive_examples"":[""Super soft and looks dramatic"",""Heats up super fast, adjustable heat""]},""preferences"":{""what_they_value"":[""comfort"",""effectiveness"",""aesthetic appeal""],""liked_attributes"":[""softness"",""ease of use"",""natural appearance""],""common_complaints"":[""products not as described"",""fit issues"",""lack of results""],""disliked_attributes"":[""rough texture"",""poor adhesion"",""wireless design absence""],""liked_product_types"":[""false eyelashes"",""hair styling tools"",""perfume atomizers""],""disliked_product_types"":[""rough-textured products"",""ineffective conditioners""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""Great headband but small for me"",""Super soft"",""easy to use""],""vocabulary_markers"":[""super"",""easy"",""didn’t work""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4,""rating_patterns"":""Gives high ratings to products that meet expectations, lower ratings when products are uncomfortable or ineffective."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":1,""5"":5}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty"",""Premium Beauty""],""verified_purchase_ratio"":0}}",AFFVAEVXTKEZZ6RAOEXCLWSB4ABQ,B0837K9W6P,4,Great headband but small for me,Cute and decorative headband that fits my daughter head. She is 10 years old and have a small head. It comes in different sizes. I've try couples and it just slide off my head but i love the colors and style. The end of headband kinda hurts a little but I've ask my daughter and she said it fits good and doesn't hurt her head.
"{""evidence"":{""negative_examples"":[""Lashes were super rough and hard"",""Didn’t work, disappointed""],""positive_examples"":[""Super soft and looks dramatic"",""Heats up super fast, adjustable heat""]},""preferences"":{""what_they_value"":[""comfort"",""effectiveness"",""aesthetic appeal""],""liked_attributes"":[""softness"",""ease of use"",""natural appearance""],""common_complaints"":[""products not as described"",""fit issues"",""lack of results""],""disliked_attributes"":[""rough texture"",""poor adhesion"",""wireless design absence""],""liked_product_types"":[""false eyelashes"",""hair styling tools"",""perfume atomizers""],""disliked_product_types"":[""rough-textured products"",""ineffective conditioners""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""Great headband but small for me"",""Super soft"",""easy to use""],""vocabulary_markers"":[""super"",""easy"",""didn’t work""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4,""rating_patterns"":""Gives high ratings to products that meet expectations, lower ratings when products are uncomfortable or ineffective."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":1,""5"":5}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty"",""Premium Beauty""],""verified_purchase_ratio"":0}}",AFFVAEVXTKEZZ6RAOEXCLWSB4ABQ,B07HMTLNWH,5,Super soft,"Love these falsies. If i decide to get extension i would want it to look like these. Easy to apply , and the edges are just a little too long so all you have to do is just trim it."
"{""evidence"":{""negative_examples"":[""Lashes were super rough and hard"",""Didn’t work, disappointed""],""positive_examples"":[""Super soft and looks dramatic"",""Heats up super fast, adjustable heat""]},""preferences"":{""what_they_value"":[""comfort"",""effectiveness"",""aesthetic appeal""],""liked_attributes"":[""softness"",""ease of use"",""natural appearance""],""common_complaints"":[""products not as described"",""fit issues"",""lack of results""],""disliked_attributes"":[""rough texture"",""poor adhesion"",""wireless design absence""],""liked_product_types"":[""false eyelashes"",""hair styling tools"",""perfume atomizers""],""disliked_product_types"":[""rough-textured products"",""ineffective conditioners""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""Great headband but small for me"",""Super soft"",""easy to use""],""vocabulary_markers"":[""super"",""easy"",""didn’t work""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4,""rating_patterns"":""Gives high ratings to products that meet expectations, lower ratings when products are uncomfortable or ineffective."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":1,""5"":5}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty"",""Premium Beauty""],""verified_purchase_ratio"":0}}",AFFVAEVXTKEZZ6RAOEXCLWSB4ABQ,B07Q82VGTV,5,"Auto rolling, and so easy to use.","Heats up super fast, adjustable heat and no more needing to twist, it does it automatically with a push of a button.  It takes much lesser time to curl with the automatic curling."
"{""evidence"":{""negative_examples"":[""Lashes were super rough and hard"",""Didn’t work, disappointed""],""positive_examples"":[""Super soft and looks dramatic"",""Heats up super fast, adjustable heat""]},""preferences"":{""what_they_value"":[""comfort"",""effectiveness"",""aesthetic appeal""],""liked_attributes"":[""softness"",""ease of use"",""natural appearance""],""common_complaints"":[""products not as described"",""fit issues"",""lack of results""],""disliked_attributes"":[""rough texture"",""poor adhesion"",""wireless design absence""],""liked_product_types"":[""false eyelashes"",""hair styling tools"",""perfume atomizers""],""disliked_product_types"":[""rough-textured products"",""ineffective conditioners""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""Great headband but small for me"",""Super soft"",""easy to use""],""vocabulary_markers"":[""super"",""easy"",""didn’t work""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4,""rating_patterns"":""Gives high ratings to products that meet expectations, lower ratings when products are uncomfortable or ineffective."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":1,""5"":5}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty"",""Premium Beauty""],""verified_purchase_ratio"":0}}",AFFVAEVXTKEZZ6RAOEXCLWSB4ABQ,B07ND4HPHT,5,Holds well and smelling good,Definitely has a gentleman’s scent. The wax last almost entire day for me since i have short hair.
"{""evidence"":{""negative_examples"":[""Lashes were super rough and hard"",""Didn’t work, disappointed""],""positive_examples"":[""Super soft and looks dramatic"",""Heats up super fast, adjustable heat""]},""preferences"":{""what_they_value"":[""comfort"",""effectiveness"",""aesthetic appeal""],""liked_attributes"":[""softness"",""ease of use"",""natural appearance""],""common_complaints"":[""products not as described"",""fit issues"",""lack of results""],""disliked_attributes"":[""rough texture"",""poor adhesion"",""wireless design absence""],""liked_product_types"":[""false eyelashes"",""hair styling tools"",""perfume atomizers""],""disliked_product_types"":[""rough-textured products"",""ineffective conditioners""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""Great headband but small for me"",""Super soft"",""easy to use""],""vocabulary_markers"":[""super"",""easy"",""didn’t work""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4,""rating_patterns"":""Gives high ratings to products that meet expectations, lower ratings when products are uncomfortable or ineffective."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":1,""5"":5}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty"",""Premium Beauty""],""verified_purchase_ratio"":0}}",AFFVAEVXTKEZZ6RAOEXCLWSB4ABQ,B07PCSRSND,3,"Didn’t work , disappointed",My wife lashes need to some help since it was very short and she will always complain about her lashes. I found this product and read good reviews so she gave it a try. It was easy to use but wasn’t for her. She didn’t see any difference and it’s been a month.
"{""evidence"":{""negative_examples"":[""Lashes were super rough and hard"",""Didn’t work, disappointed""],""positive_examples"":[""Super soft and looks dramatic"",""Heats up super fast, adjustable heat""]},""preferences"":{""what_they_value"":[""comfort"",""effectiveness"",""aesthetic appeal""],""liked_attributes"":[""softness"",""ease of use"",""natural appearance""],""common_complaints"":[""products not as described"",""fit issues"",""lack of results""],""disliked_attributes"":[""rough texture"",""poor adhesion"",""wireless design absence""],""liked_product_types"":[""false eyelashes"",""hair styling tools"",""perfume atomizers""],""disliked_product_types"":[""rough-textured products"",""ineffective conditioners""]},""writing_style"":{""tone"":""casual"",""length"":""short"",""formality"":""casual"",""detail_level"":""medium"",""common_phrases"":[""Great headband but small for me"",""Super soft"",""easy to use""],""vocabulary_markers"":[""super"",""easy"",""didn’t work""]},""rating_behavior"":{""strictness"":""moderate"",""average_rating"":4,""rating_patterns"":""Gives high ratings to products that meet expectations, lower ratings when products are uncomfortable or ineffective."",""rating_distribution"":{""1"":1,""2"":0,""3"":3,""4"":1,""5"":5}},""cultural_signals"":""none detected"",""purchase_behavior"":{""price_sensitivity"":""unknown"",""quality_sensitivity"":""high"",""preferred_categories"":[""All Beauty"",""Premium Beauty""],""verified_purchase_ratio"":0}}",AFFVAEVXTKEZZ6RAOEXCLWSB4ABQ,B07PTYB7G7,3,feels rough,I was the hair and the hair feels rough. I would wear this for fun but not to actually wear for daily use.
